Year of Completion,Name of Dam,Country
0,Nuwara Wewa,Sri Lanka
284,Qattinah,Syria
300,Nachchaduwa Wewa,Sri Lanka
300,Minneriya Wewa,Sri Lanka
386,Parakrama Samudra,Sri Lanka
1000,Thonnur Tank,India
1470,Otaniike,Japan
1592,Iwaseike,Japan
1633,Kamekoshiike,Japan
1661,Ogaike,Japan
1661,Nodaketameike,Japan
1662,Ishigamiike,Japan
1663,Niike,Japan
1671,Rajsamand,India
1678,Gokatsuraike,Japan
1710,Kayoichoike,Japan
1730,Jai Samand,India
1806,Valdeinfierno,Spain
1825,Lake Drummond,United States
1825,Great East Lake Dam,United States
1830,Songo Lock Dam,United States
1832,Hamilton Lake North Dam,United States
1832,Buckeye Lake Dam,United States
1832,Bow Lake,United States
1835,Moosehead Lake East Dam,United States
1836,West Grand Lake Dam,United States
1839,Kentucky River Lock and Dam 1,United States
1841,Grand Lake St. Marys West Embankment,United States
1842,Dollof Dam,United States
1845,Wilson Pond Dam,United States
1846,Newfound Lake,United States
1846,Loch Lochy,United Kingdom
1848,Merrimack River Dam,United States
1852,Indian Lake Dam,United States
1853,Woodhull Lake Dam,United States
1854,Crescent Lake Dam,United States
1856,Squam Lake,United States
1857,Yan Yean,Australia
1858,Mjosa,Norway
1858,Settons,France
1859,Katrine,United Kingdom
1859,Loch Venacher,United Kingdom
1860,Highland Lake,United States
1863,Deruyter Dam,United States
1867,Union Street Dam,United States
1869,Union Lake Dam,United States
1870,San Andreas,United States
1870,Locke Mills Dam,United States
1871,Ekrukh,India
1872,Panguitch Lake,United States
1872,Cuba Lake Dam,United States
1872,Boyds Corner Dam,United States
1872,Lower Karori,New Zealand
1873,Lake Fordyce,United States
1873,Massabesic Lake Dam,United States
1875,Lock Dam,United States
1876,Rhinelander,United States
1878,Dells,United States
1878,Carpenter Dam,United States
1878,Middle Branch Dam,United States
1879,Eel Weir,United States
1880,Keuka Lake Outlet Dam,United States
1880,Lake George Outlet,United States
1880,Stockbridge Bowl Dam,United States
1882,Salt Springs Valley,United States
1882,Lone Tree,United States
1882,Upper Mechanicville,United States
1882,El Villar,Spain
1883,Upper Dam,United States
1883,Middle Dam,United States
1884,Winnibigoshish Dam,United States
1884,Pokegama Lake Dam,United States
1885,Leech Lake Dam,United States
1885,Gardiner Water District Dam,United States
1885,Liez,France
1886,Pine River Dam,United States
1886,Paricha,India
1887,Cuyamaca,United States
1887,Errol,United States
1887,Puentes 3,Spain
1887,Mhaswad,India
1887,Wartook,Australia
1888,Lower Crystal Springs,United States
1888,Sweetwater Main,United States
1888,Otis Reservoir Dam,United States
1889,Gunnison,United States
1890,Rio Grande,United States
1890,Buena Vista,United States
1890,Hubbard Lake,United States
1890,Telos Dam,United States
1890,Goulburn Weir,Australia
1891,Mccoy Flat,United States
1892,Chabot,United States
1892,Sodom Dam,United States
1892,Oak Ridge Reservoir Dam,United States
1892,Vyrnwy,United Kingdom
1893,Red Rock 1,United States
1893,Barr Lake,United States
1893,Bog Brook Dam 1,United States
1894,Lake Loveland,United States
1894,Clinton Reservoir Dam,United States
1894,Thirlmere,United Kingdom
1895,Mona,United States
1895,Lake Hemet,United States
1895,Sandy Lake Dam and Lock,United States
1895,Carmel Dam,United States
1895,Titicus Dam,United States
1895,Tashiroike,Japan
1896,Nee Noshe,United States
1896,Queen,United States
1896,Sudbury Dam,United States
1896,Newberry,South Africa
1896,Hesaraghatta Reservoir,India
1896,Happy Valley,Australia
1897,Otter Creek,United States
1897,Amawalk Dam,United States
1897,Periyar,India
1898,Bijou Dam 1,United States
1898,Indian Lake Stone Dam,United States
1898,Prospect,Australia
1899,Marston Lake North Dam,United States
1899,Paula Pessoa,Brazil
1899,Serafim Dias,Brazil
1899,Trussu,Brazil
1899,Petronio Portel,Brazil
1900,Boyd Lake,United States
1900,Pruess Lake,United States
1900,Wind Lake,United States
1900,Jackson Lake,United States
1900,Horse Creek,United States
1900,Thurlow,United States
1900,Great Pond Storage Dam,United States
1900,Cobbosseecontee Outlet Dam,United States
1900,Emery Mills Dam,United States
1900,Otsego Lake Dam,United States
1900,West Eweburn,New Zealand
1901,Wheatland 2,United States
1901,Douglas,United States
1901,Chittenden Reservoir,United States
1901,Gouthwaite,United Kingdom
1901,Matopos,Zimbabwe
1902,Cascade 2,United States
1902,Devils Track Lake,United States
1902,Alverno,United States
1902,Skaneateles Lake Dam,United States
1902,Pakhal,India
1902,Assiut Barrage,Egypt
1903,Windsor 8,United States
1903,Fossil Creek,United States
1903,Twin Branch,United States
1903,Lows Lake Dam,United States
1903,Spier Falls,United States
1903,Shenipsit Lake,United States
1904,Tule Lake,United States
1904,La Jara,United States
1904,Adobe Creek,United States
1904,Lake Placid Dam,United States
1904,Lake Waukewan Dam,United States
1904,Craig-Goch,United Kingdom
1904,Caban Coch,United Kingdom
1904,Ennepe,Germany
1905,Flint Creek Dam,United States
1905,Minidoka,United States
1905,North Poudre 6,United States
1905,Cheesman,United States
1905,Groundhog,United States
1905,Saint Croix Falls,United States
1905,Empire,United States
1905,Union Falls,United States
1905,Old Forge Reservoir Dam,United States
1905,Tomhannock Reservoir Dam,United States
1905,Boonton Dam,United States
1905,Talla,United Kingdom
1905,Urft,Germany
1905,Gerrands,South Africa
1905,Pathari,India
1906,Post Falls Middle Channel,United States
1906,Eden Dike 1,United States
1906,Bergland Dam,United States
1906,Dolby,United States
1906,Woodland Dam,United States
1906,Wachusett Reservoir Dam,United States
1906,New Croton Reservoir Dam,United States
1906,Cedro,Brazil
1906,Charmes,France
1906,Lesna,Poland
1906,Utsuidaiichi,Japan
1907,Cold Springs,United States
1907,Madison Dam,United States
1907,Deer Flat Upper,United States
1907,Holcombe,United States
1907,West Buxton,United States
1907,Bellows Falls,United States
1907,Acarau Mirim,Brazil
1907,Frykfors Fryken,Sweden
1907,Premier Mine,South Africa
1907,Cataract,Australia
1908,James Lake,United States
1908,Marshall Lake,United States
1908,Narraguinnep,United States
1908,Mountain Home,United States
1908,Sabrina,United States
1908,Sanchez,United States
1908,Hatfield,United States
1908,Riverside,United States
1908,Two Buttes,United States
1908,Long-on-Deerskin,United States
1908,South Pelican,United States
1908,Brant Lake Upper Dam,United States
1908,Cross River Dam,United States
1908,Mosvatn,Norway
1908,Gullspang,Sweden
1908,Dalsfoss,Norway
1908,Bonkolo,South Africa
1908,Upper Karori,New Zealand
1908,Twin Lakes,United States
1909,Bumping Lake,United States
1909,Conconully,United States
1909,Lake Frances East Dam,United States
1909,Buffalo Bill,United States
1909,Laprele,United States
1909,Pathfinder Dike,United States
1909,Antero,United States
1909,Necaxa,Mexico
1909,Caughdenoy Dam,United States
1909,Rocky Creek,United States
1909,Inglis,United States
1909,Vernon,United States
1909,Blackwater,United Kingdom
1909,Gasset,Spain
1909,Rochebut,France
1909,Pahuj,India
1909,Dhekwan,India
1909,Khapri,India
1909,Lakhnavaram,India
1909,Taipingshao,China
1909,Stephens Creek,Australia
1910,Clear Lake Dike,United States
1910,East Park,United States
1910,Willow Creek,United States
1910,Como,United States
1910,Magic Dam,United States
1910,Barker,United States
1910,Clear Creek,United States
1910,Johnson,United States
1910,Relief,United States
1910,Crane Val Stor,United States
1910,Hillside,United States
1910,Cedar Falls,United States
1910,Belle Fourche,United States
1910,Rapidan,United States
1910,Julesburg 3,United States
1910,Horse Creek,United States
1910,Tenango,Mexico
1910,Matabitchuan,Canada
1910,Au Train,United States
1910,Kings Dam,United States
1910,High Falls,United States
1910,Leland Dam,United States
1910,Princeton,United States
1910,Bayview Lake,United States
1910,Millinocket Lake,United States
1910,Lochmere,United States
1910,Cambridge Reservoir Dam,United States
1910,Croton Falls Dam,United States
1910,Bolarque,Spain
1910,Rhodannenberg,Switzerland
1910,La Bouillouse,France
1910,Wadhwana,India
1910,Vani Vilasa Sagar,India
1911,Stave Falls,Canada
1911,Kachess,United States
1911,Lake Tapps Dike 2-B,United States
1911,Lake Valley,United States
1911,Modesto Reservoir,United States
1911,Warhorse Dam,United States
1911,Hauser Dam,United States
1911,Jackson Lake,United States
1911,Blackfoot,United States
1911,Santa Maria,United States
1911,Terrace,United States
1911,Bear Valley,United States
1911,Theodore Roosevelt,United States
1911,Fish Lake,United States
1911,Birch Lake,United States
1911,Cedar Lake,United States
1911,Lock and Dam 8,United States
1911,White Rock Dam,United States
1911,Rapides des Quinze,Canada
1911,Pikes Creek,United States
1911,Ocoee 1,United States
1911,Lloyd Shoals,United States
1911,Rock Forest,Canada
1911,Abbott Brook Dike,United States
1911,Aziscohos,United States
1911,Gosau,Austria
1911,Hemawas,India
1911,Morton,New Zealand
1911,Salmon Falls Dam,United States
1911,Green Lake Dam,United States
1912,Powell,Canada
1912,Coquitlam,Canada
1912,Little Camas Dam,United States
1912,Lake Hattie Dam,United States
1912,Upper Enterprise,United States
1912,Lyman,United States
1912,Morena,United States
1912,Gull Lake,United States
1912,Lake Alice 1,United States
1912,Prewitt,United States
1912,Silver Lake,United States
1912,Cooke,United States
1912,Delta Dam,United States
1912,Mud Lock and Canal Dam,United States
1912,Lake Geneva,United States
1912,Blewett Falls,United States
1912,Goat Rock,United States
1912,Panama Canal Dam,Panama
1912,Crescent Dams A-C,United States
1912,Howden,United Kingdom
1912,Pilchowice,Poland
1912,Kurobe,Japan
1913,Wickiup Reservoir,United States
1913,Lake Spaulding,United States
1913,Lake Tahoe,United States
1913,Ashton,United States
1913,Oneida,United States
1913,Standley Lake,United States
1913,Haiwee,United States
1913,Long Lake,United States
1913,Cucharas 5,United States
1913,Medina Lake Dam,United States
1913,Lake Independence Dam,United States
1913,Loud,United States
1913,Hamlin Lake Dam,United States
1913,Upper Beaver Dam,United States
1913,Defiance Power Dam,United States
1913,Lake Rockwell Dam,United States
1913,Somerset,United States
1913,Dam 3,United States
1913,Carite,United States
1913,La Pena,Spain
1913,El Burguillo,Spain
1913,Moehne,Germany
1913,Malter,Germany
1913,Loxton,South Africa
1913,Namal,Pakistan
1913,Ramtek,India
1914,Shawatians,Canada
1914,Jordan,Canada
1914,Masonry Dam,United States
1914,Drews Reservoir,United States
1914,Nelson Dike,United States
1914,Pablo,United States
1914,Arrowrock,United States
1914,Johnson 1,United States
1914,Sevier Bridge,United States
1914,Rocky Ford,United States
1914,Kettle Falls,United States
1914,Minatare,United States
1914,Lake Worth Dam,United States
1914,Caddo Dam,United States
1914,Bennetts Bridge,United States
1914,Hinckley,United States
1914,Prairie du Sac,United States
1914,Parr Shoals Dam,United States
1914,Lay,United States
1914,Patillas,United States
1914,Itupararanga,Brazil
1914,Loch Arklet,United Kingdom
1914,Eder,Germany
1914,Klingenberg,Germany
1914,Lavalette,France
1914,Porjus,Sweden
1914,Vaal Barrage,South Africa
1914,Pillowa,India
1914,Majhgawan,India
1914,Ono,Japan
1914,Phoenix Lock and Dam 1,United States
1915,Turlock Lake,United States
1915,Long Lake,United States
1915,Hebgen Dam,United States
1915,Lahontan,United States
1915,Island Lake,United States
1915,Waterloo,United States
1915,Lookout Shoals,United States
1915,Grand Falls Main Dam,United States
1915,Bartlett Carry Dam,United States
1915,Alfonso 13,Spain
1915,Bischoffs,South Africa
1915,Lovedale,South Africa
1915,Gangau,India
1915,Chandpur,India
1915,Umberumberka,Australia
1915,Waranga Basin,Australia
1916,Cougar Lake Dam,Canada
1916,Keechelus,United States
1916,Four Mile Lake Dam,United States
1916,Main Strawberry,United States
1916,La Boquilla,Mexico
1916,Lower Balsam Lake,United States
1916,Elk Rapids,United States
1916,Lake Milton Dam,United States
1916,Great Falls,United States
1916,Fishing Creek,United States
1916,Grand-Mere,Canada
1916,Ripogenus,United States
1916,Ashokan Dam,United States
1916,Phelps Dam,United States
1916,Kensico Dam,United States
1916,Derwent,United Kingdom
1916,Alwen,United Kingdom
1916,Talarn,Spain
1916,Darna,India
1916,Fyans,Australia
1916,Lake Manchester,Australia
1916,Blandin Dam,United States
1917,Link Lake,Canada
1917,Copco 1,United States
1917,Alpine,United States
1917,Gem Lake,United States
1917,Huntington Lake 1,United States
1917,Wissota,United States
1917,Swift Rapids,Canada
1917,Mio,United States
1917,Oak Orchard Creek Dam,United States
1917,Yadkin Narrows,United States
1917,Cranberry Lake,United States
1917,Marvatn,Norway
1917,Tigra,India
1917,Honjo,Japan
1917,Upper Manorburn,New Zealand
1918,Woodward,United States
1918,Holter Dam,United States
1918,Silver Lake East Dam,United States
1918,Warm Springs,United States
1918,Lake Eleanor,United States
1918,Lower San Fernando,United States
1918,Lake Hodges,United States
1918,Foote,United States
1918,Tippy,United States
1918,Gouin,Canada
1918,Riacho do Sangue,Brazil
1918,El Talave,Spain
1918,Ringedalsvatn,Norway
1918,Vamma,Norway
1918,Umziniana,South Africa
1918,Asolamandha,India
1918,Yamashitaike,Japan
1918,Lake Margaret,Australia
1919,Savage,United States
1919,Boulder Lake,United States
1919,Zumbro Lake,United States
1919,Overholser,United States
1919,Catawba,United States
1919,Cheoah,United States
1919,Wateree,United States
1919,Head Works Dam,United States
1919,Kotwal,India
1919,Ramappa,India
1919,Sengari,Japan
1920,Ochoco,United States
1920,San Pablo,United States
1920,Lake Sherburne,United States
1920,Costilla Dam,United States
1920,Prairie River,United States
1920,Bear Lake,United States
1920,Lake Brandt Dam,United States
1920,Damariscotta Intake Dam,United States
1920,Richards Corner Dam,United States
1920,Llyn Cowlyd,United Kingdom
1920,Maria Cristina,Spain
1920,Muehleberg,Switzerland
1920,Piora,Switzerland
1920,Camarasa,Spain
1920,Aspeling,South Africa
1920,Mazowe,Zimbabwe
1920,Osman Sagar,India
1920,Bushuko,Japan
1921,Lake Oswego,United States
1921,Link River Diversion,United States
1921,Hyatt Dam,United States
1921,Big Sage,United States
1921,Scott,United States
1921,Saddlebag Lake,United States
1921,Storrie Dam,United States
1921,Elephant Butte Dike,United States
1921,Model,United States
1921,Lake Abilene Dam,United States
1921,Twin Falls,Canada
1921,Big Eddy,Canada
1921,Lake Prince Dam,United States
1921,Canada Falls,United States
1921,Weston North Channel Dam,United States
1921,Forquilha,Brazil
1921,Boqueirao,Brazil
1921,Alsa,Spain
1921,Conde de Guadalhorce,Spain
1921,Vannino,Italy
1921,Codelago,Italy
1921,Motala,Sweden
1921,Nihotupu Auxiliary Dam,New Zealand
1921,Soo Locks,United States
1922,Thompson Valley Reservoir,United States
1922,Caples Lake,United States
1922,Lake Arrowhead,United States
1922,Barrett,United States
1922,Birch Lake,United States
1922,Whiteface Lake,United States
1922,Whitney Dam 1,United States
1922,Spavinaw,United States
1922,Shell,United States
1922,Cheboygan Dam,United States
1922,Neenah,United States
1922,Montello,United States
1922,Lake Decatur Dam,United States
1922,Oradell Reservoir Dam,United States
1922,Lower Gompies,South Africa
1922,Thakurwadi,India
1922,Pocharam,India
1922,Iranaimadu,Sri Lanka
1922,Jizobaru,Japan
1922,Blanchetown Weir,Australia
1922,Tod River,Australia
1923,Anyox,Canada
1923,Emigrant,United States
1923,Hubbart,United States
1923,Ninepipe,United States
1923,Antelope Dam,United States
1923,O'Shaughnessy,United States
1923,Henshaw,United States
1923,Great Falls,Canada
1923,Winton,United States
1923,Chippewa Reservoir,United States
1923,Albert Lea Lake,United States
1923,Lake Kemp Dam,United States
1923,Lake Crook Dam,United States
1923,Williamson Dam,United States
1923,Norway,United States
1923,Loch Raven Dam,United States
1923,Mountain Island,United States
1923,Tugalo,United States
1923,Mitchell,United States
1923,Anson,United States
1923,Merrymeeting Lake Dam,United States
1923,Sherman Island,United States
1923,Stewarts Landing Dam,United States
1923,Lake Monomonac Dam,United States
1923,Misericordia,Brazil
1923,Cervera,Spain
1923,Svartevatn Hoveddam,Norway
1923,Sarathi,India
1923,Bodalkasa,India
1923,Chorkhamara,India
1923,Tandula,India
1923,Murumsilli,India
1923,Willingdon,India
1923,Chuwa,Japan
1923,Wakka,Japan
1923,,Australia
1923,,Australia
1923,Upper Nihotupu,New Zealand
1923,Winton Dam,United States
1924,Tieton,United States
1924,Indian Ole,United States
1924,Butt Valley,United States
1924,Chambers Lake,United States
1924,Bridgeport,United States
1924,Encino,United States
1924,Stone Canyon,United States
1924,Mormon Flat,United States
1924,Gabbro Lake 1,United States
1924,Gabbro Lake 2,United States
1924,Lake Diversion Dam,United States
1924,Caldron Falls,United States
1924,Norway Point,United States
1924,Alcona,United States
1924,Stillwater North Dam,United States
1924,French Landing,United States
1924,O'Shaughnessy,United States
1924,Gantt,United States
1924,Portage-des-Roches,Canada
1924,Graham Lake Dam,United States
1924,Taylor Pond Dam,United States
1924,Ayers Island Dam,United States
1924,Milton Three Ponds Dam,United States
1924,Harriman,United States
1924,Plain Diversion Dam,Canada
1924,Solbergfoss,Norway
1924,Diemel,Germany
1924,Schrah,Switzerland
1924,Zlotniki,Poland
1924,Mulungushi,Zambia
1924,Grobler,South Africa
1924,Hisayamada,Japan
1924,Murayamakami,Japan
1924,Oi,Japan
1924,Les Cedres,Canada
1924,Wilson,United States
1925,Gerber,United States
1925,Pit 3,United States
1925,Calaveras,United States
1925,Pilot Butte,United States
1925,New Fork Lake,United States
1925,Ray Lake,United States
1925,Soda,United States
1925,Moose Lake 1,United States
1925,Chetek,United States
1925,Shetek Lake Outlet,United States
1925,Hawk Springs,United States
1925,Remmel,United States
1925,Cross Lake Dam and Spillway,United States
1925,Rest Lake,United States
1925,Hodenpyl,United States
1925,Secord,United States
1925,Edenville,United States
1925,Sanford,United States
1925,Oakdale,United States
1925,Deep Creek Dam,United States
1925,Dix River Dam,United States
1925,Rhodhiss,United States
1925,Table Rock Reservoir,United States
1925,Winthrop University Dam,United States
1925,Mathis and Terrora,United States
1925,Yonah,United States
1925,Isle Maligne Spillway 1,Canada
1925,Moxie Dam,United States
1925,Pine Hill Reservoir Dam,United States
1925,Lake Hopatcong Dam,United States
1925,Irabia,Spain
1925,Kebir,Tunisia
1925,Mushroom Valley,South Africa
1925,Wonderkop,South Africa
1925,Langseekoeigat,South Africa
1925,Sennar,Sudan
1925,Upper Coliban,Australia
1925,McLaren Falls,New Zealand
1926,Alouette,Canada
1926,Cushman 1,United States
1926,Lake Curry,United States
1926,Bynum Reservoir Dam,United States
1926,McKay,United States
1926,Florence Lake,United States
1926,Horse Mesa,United States
1926,Namekagon,United States
1926,Turtle Dam,United States
1926,Guernsey,United States
1926,Lake Meredith,United States
1926,Hemlock Lake Dam,United States
1926,Wallenpaupack,United States
1926,Lake Lynn Dam,United States
1926,Martin,United States
1926,Bartletts Ferry Main Dam,United States
1926,Chazy Lake Dam,United States
1926,Gulf Island,United States
1926,Jackman Dam,United States
1926,Gilboa Dam,United States
1926,Toronto,United States
1926,Easton Reservoir,United States
1926,Cueva Foradada,Spain
1926,Ban de Champagney,France
1926,Eguzon,France
1926,Muzzone,Italy
1926,Volkhov,Russia
1926,Bhandardari,India
1926,Bhainsora,India
1926,Sappinai,Japan
1926,Ochiai,Japan
1926,Cordeaux,Australia
1926,Ratapiko,New Zealand
1927,Lower Baker Dam,United States
1927,Chelan Dam,United States
1927,Lake Almanor,United States
1927,Bowman,United States
1927,Donner Lake,United States
1927,Mystic Lake,United States
1927,Cutler,United States
1927,Shaver Lake,United States
1927,Mercier,Canada
1927,Willow,United States
1927,Lake George Dam,United States
1927,High Rock,United States
1927,Lake Lure Dam,United States
1927,Burton,United States
1927,Brassua,United States
1927,Marshfield 6,United States
1927,Rio,United States
1927,Parteen Weir,Ireland
1927,Cala,Spain
1927,Svartavatn Dam,Norway
1927,Lago d'Arno,Italy
1927,Ntshongweni,South Africa
1927,Mulshi Lake,India
1927,Bhatghar,India
1927,Pariat,India
1927,Kumhari,India
1927,Himayat Sagar,India
1927,Kazawa,Japan
1927,Maroondah,Australia
1927,Waihopai,New Zealand
1928,Shasta River,United States
1928,Bucks Storage,United States
1928,Stony Gorge,United States
1928,Ashley,United States
1928,Gibson,United States
1928,Tinemaha,United States
1928,Puddingstone,United States
1928,Railroad Canyon,United States
1928,Mitchell,United States
1928,Lake Lotawana Dam,United States
1928,Okmulgee Lake,United States
1928,High Point Municipal Dam,United States
1928,Oxford,United States
1928,Santeetlah,United States
1928,Tillery,United States
1928,Jordan,United States
1928,Jackson Bluff,United States
1928,Squa Pan,United States
1928,Greenwood Lake Dam,United States
1928,Furnace Road Dam,United States
1928,Guajataca,United States
1928,Exploits,Canada
1928,Billings,Brazil
1928,Dioue Pedras,Brazil
1928,Guadalmellato,Spain
1928,Lago Kastel,Italy
1928,Lago Truzzo,Italy
1928,Cignana 1,Italy
1928,Khami,Zimbabwe
1928,Palair,India
1928,Taeha,North Korea
1928,Masan,South Korea
1928,Onbara,Japan
1928,Utsuidaini,Japan
1928,Makabe,Japan
1928,Wurdiboluc,Australia
1928,Waitakere,New Zealand
1928,Upper Huia,New Zealand
1928,Arapuni,New Zealand
1929,Diablo,United States
1929,Bull Run Reservoir Dam 1,United States
1929,Pardee,United States
1929,Ghost,Canada
1929,Sugar Lake,Canada
1929,Stewart Mountain,United States
1929,Coolidge,United States
1929,Ear Falls Dam,Canada
1929,Santa Rosa Dam,United States
1929,Eddleman Dam,United States
1929,High Falls,Canada
1929,Lake Noquebay,United States
1929,Argentine Dam,United States
1929,Caneadea Dam,United States
1929,Bradford,United States
1929,Walters,United States
1929,Riviere des Prairies,Canada
1929,Schoodic Lake Dam,United States
1929,Upper Lake Falls,Canada
1929,Alcove Dam,United States
1929,Rocky River Main Dam,United States
1929,Lake Gaillard,United States
1929,Agger,Germany
1929,Isarkanal Dam,Germany
1929,Gelmer,Switzerland
1929,Pinet,France
1929,Kransfontein,South Africa
1929,Mala,India
1929,Butoku,Japan
1929,Katada,Japan
1930,Chaplain Lake South Dam,United States
1930,Pishkun Dike 1,United States
1930,Tabor,United States
1930,Deadwood,United States
1930,Echo,United States
1930,Whitesand Rapids,Canada
1930,Hanska Lake,United States
1930,Lake Macbride Dam,United States
1930,McAlester,United States
1930,Nasworthy Dam,United States
1930,Victoria,United States
1930,Rapide-des-Cedres,Canada
1930,Upper South Dam,United States
1930,Upper Green Lake,United States
1930,Lake Bloomington Dam,United States
1930,Calderwood,United States
1930,Blue Ridge,United States
1930,Saluda,United States
1930,Lake Blackshear,United States
1930,Chute-a-Caron,Canada
1930,Mattawin,Canada
1930,Harrington Lake Dam,United States
1930,Loon Lake Dam,United States
1930,Sourdnahunk Dam,United States
1930,Penobscot Lake Dam,United States
1930,Rainbow Lake Dam,United States
1930,First Connecticut Lake Dam,United States
1930,Comerford,United States
1930,Conklingville,United States
1930,Camps,United Kingdom
1930,Guerledan,France
1930,Camporredondo,Spain
1930,Alloz,Spain
1930,Kriebstein,Germany
1930,Saint Marc,France
1930,San Lorenzo Mongay,Spain
1930,Pena,Spain
1930,Mwadinguisha,Congo (DRC)
1930,Maniyari,India
1930,Large Tank Bayya,India
1930,Wyra,India
1930,Chenderoh,Malaysia
1930,Togo Ngebe,Indonesia
1930,Wushantou,Taiwan
1930,Ainumanai,Japan
1930,Soyama,Japan
1930,Pykes Creek,Australia
1930,Nag-Hamady Barrage,Egypt
1930,Temiscouata Dam,Canada
1931,Salt Springs,United States
1931,Twin Lakes,United States
1931,Wallowa Lake,United States
1931,Thief Valley,United States
1931,Owyhee,United States
1931,La Rosetilla,Mexico
1931,Seven Sisters,Canada
1931,Lower Red Lake Dam,United States
1931,Clearwater,United States
1931,Bagnell Dam,United States
1931,Holdenville City Lake,United States
1931,Bridgeport Dam,United States
1931,Calles,Mexico
1931,Cisco,United States
1931,Chats Falls Main,Canada
1931,Fox Lake,United States
1931,Geist Storage,United States
1931,Cobble Mountain Reservoir Dam,United States
1931,Agueda,Spain
1931,Mellah,Morocco
1931,Sose,Germany
1931,Lehnmuehle,Germany
1931,Cize Bolozon,France
1931,Marathon,Greece
1931,Nizam Sagar,India
1931,Krisharaja Sagar,India
1931,Puchon,North Korea
1931,Hattorioike,Japan
1931,Marunuma,Japan
1931,Silvan,Australia
1931,Mangamahoe,New Zealand
1931,Poolburn,New Zealand
1931,Mahinerangi,New Zealand
1931,Merwin,United States
1932,Cle Elum,United States
1932,Corra-Linn,Canada
1932,Four Horns,United States
1932,Eleven Mile Canyon,United States
1932,Continental,United States
1932,Diamond Lake,United States
1932,Carpenter,United States
1932,Eagle Mountain Dam,United States
1932,Hannas Run Dam,United States
1932,Venustiano Carranza,Mexico
1932,Ford Lake,United States
1932,Mineral Ridge Dam,United States
1932,Upper Station Dam,United States
1932,Second Dam,United States
1932,Lima Campos,Brazil
1932,Stocks,United Kingdom
1932,Vezins,France
1932,Santolea,Spain
1932,Jandula,Spain
1932,Encinarejo,Spain
1932,Bleiloch,Germany
1932,Butgenbach,Belgium
1932,Schluchsee,Germany
1932,Crescent,France
1932,Spitallamm,Switzerland
1932,Cardenello,Italy
1932,Valtoggia,Italy
1932,Sarrans,France
1932,Puyvalador,France
1932,Barasona,Spain
1932,Oued Fodda,Algeria
1932,Groendal,South Africa
1932,Dniepr,Ukraine
1932,Pungsan,North Korea
1932,Iinoyama,Japan
1932,Oyodogawadaini,Japan
1932,Afsluitdijk,Netherlands
1932,Sukkur,Pakistan
1933,Glenmore,Canada
1933,Crow,United States
1933,Union,United States
1933,Santiago Creek,United States
1933,Little Pine Lake,United States
1933,Lake Brownwood Dam,United States
1933,Abitibi Canyon,Canada
1933,Alpina Dam,United States
1933,Pymatuning,United States
1933,Spaulding Dam,United States
1933,Soledade 1,Brazil
1933,Silent Valley,United Kingdom
1933,Arlanzon,Spain
1933,Fuensanta,Spain
1933,Saidenbach,Germany
1933,Chaumecon,France
1933,Otmuchow,Poland
1933,Omatjenne,Namibia
1933,Avis,Namibia
1933,Nizhne-Svirskaya,Russia
1933,Old Aswan Dam,Egypt
1933,Pacal,Indonesia
1933,Kuwol,North Korea
1933,Kinbuchiike,Japan
1933,Oana,Japan
1933,Lower Manorburn,New Zealand
1933,Beauharnois,Canada
1934,Lima,United States
1934,Agency Valley,United States
1934,Hyrum,United States
1934,Bouquet Canyon,United States
1934,El Capitan,United States
1934,Mina,United States
1934,Taxhimay,Mexico
1934,South Fowl Lake,United States
1934,Rapide Blanc,Canada
1934,North Twin,United States
1934,Setting Pole Rapids Dam,United States
1934,Recoleta,Chile
1934,Choro,Brazil
1934,Treig,United Kingdom
1934,Doiras,Spain
1934,Ordunte,Spain
1934,Ricobayo,Spain
1934,Al Thelat,Morocco
1934,Nedre Skjerkavatn,Norway
1934,Vargon,Sweden
1934,Oder,Germany
1934,Careser,Italy
1934,Le Chambon,France
1934,Le Sautet,France
1934,Saints Peyres,France
1934,Boughzoul,Algeria
1934,Sec,Czech Republic
1934,Mazelspoort,South Africa
1934,Amboromalandy,Madagascar
1934,Aoda,India
1934,Kaketo,India
1934,Mettur,India
1934,Pujon,North Korea
1934,Wolchon,North Korea
1934,Kuam,North Korea
1934,Senganishi,Japan
1934,Waitaki,New Zealand
1935,Calero,United States
1935,Weber Dam,United States
1935,El Vado Reservoir Dam,United States
1935,Hoover,United States
1935,Morris,United States
1935,Des Lacs 2,United States
1935,Sauk Center,United States
1935,Richmond,United States
1935,Sutherland,United States
1935,Maloney,United States
1935,Ponca,United States
1935,Green Leaf Lake,United States
1935,Retama Reservoir Levee,United States
1935,Tepuxtepec,Mexico
1935,Borg,United States
1935,Still Creek,United States
1935,Lake Tholocco,United States
1935,Second Connecticut Lake Dam,United States
1935,General Sampaio,Brazil
1935,Itans,Brazil
1935,Ipitanga,Brazil
1935,Clatteringshaws,United Kingdom
1935,La Brena,Spain
1935,Cheurfas,Algeria
1935,El Kansera,Morocco
1935,Lalla Takerkoust,Morocco
1935,Sorpe,Germany
1935,Vrane,Czech Republic
1935,Mareges,France
1935,Terradets,Spain
1935,Hamiz,Algeria
1935,Bakhadda,Algeria
1935,Stanford,South Africa
1935,Upper Gompies,South Africa
1935,Rietfontein,South Africa
1935,Frankfort,South Africa
1935,Sterkfontein,South Africa
